 Óbitos por Causas Externas - Brasil
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: X85-Y09 Agressões, Y35-Y36 Intervenções legais e operações de guerra
Período:2020
"Município";"Óbitos_p/Ocorrênc"
"250460 Conde";13
"250470 Congo";2
"250480 Coremas";3
"250490 Cruz do Espírito Santo";7
"250500 Cubati";3
"250510 Cuité";5
"250523 Cuité de Mamanguape";2
"250527 Curral de Cima";1
"250535 Damião";2
"250540 Desterro";3
"250560 Diamante";1
"250570 Dona Inês";1
"250600 Esperança";4
"250610 Fagundes";8
"250625 Gado Bravo";1
"250630 Guarabira";12
"250640 Gurinhém";3
"250670 Imaculada";4
"250680 Ingá";5
"250690 Itabaiana";10
"250700 Itaporanga";6
"250710 Itapororoca";8
"250720 Itatuba";4
"250730 Jacaraú";7
"250740 Jericó";4
"250750 João Pessoa";293
"250760 Juarez Távora";1
"250770 Juazeirinho";5
"250780 Junco do Seridó";1
"250790 Juripiranga";6
"250800 Juru";1
"250810 Lagoa";2
"250820 Lagoa de Dentro";2
"250830 Lagoa Seca";3
"250855 Logradouro";2
"250860 Lucena";6
"250890 Mamanguape";17
"250900 Manaíra";1
"250905 Marcação";4
"250910 Mari";4
"250920 Massaranduba";2
"250930 Mataraca";1
"250933 Matinhas";1
"250939 Maturéia";1
"250940 Mogeiro";1
"250960 Monte Horebe";1
"250970 Monteiro";13
"250980 Mulungu";2
"250990 Natuba";5
"251010 Nova Floresta";3
"251030 Nova Palmeira";1
"251065 Parari";3
"251070 Passagem";1
"251080 Patos";41
"251090 Paulista";2
"251100 Pedra Branca";1
"251120 Pedras de Fogo";18
"251272 Pedro Régis";1
"251130 Piancó";6
"251140 Picuí";4
"251150 Pilar";5
"251160 Pilões";3
"251170 Pilõezinhos";1
"251190 Pitimbu";13
"251200 Pocinhos";5
"251210 Pombal";7
"251230 Princesa Isabel";7
"251240 Puxinanã";4
"251250 Queimadas";14
"251270 Remígio";4
"251274 Riachão";1
"251275 Riachão do Bacamarte";1
"251276 Riachão do Poço";4
"251290 Rio Tinto";7
"251310 Salgado de São Félix";3
"251315 Santa Cecília";4
"251320 Santa Cruz";1
"251335 Santa Inês";1
"251340 Santa Luzia";2
"251370 Santa Rita";60
"251380 Santa Teresinha";1
"251350 Santana de Mangueira";1
"251360 Santana dos Garrotes";1
"251385 Santo André";1
"251390 São Bento";12
"251394 São Domingos do Cariri";1
"251398 São Francisco";1
"251400 São João do Cariri";2
"250070 São João do Rio do Peixe";3
"251410 São João do Tigre";1
"251430 São José de Caiana";1
"251450 São José de Piranhas";4
"251460 São José do Bonfim";3
"251490 São Mamede";1
"251500 São Miguel de Taipu";5
"251510 São Sebastião de Lagoa de Roça";1
"251520 São Sebastião do Umbuzeiro";1
"251540 São Vicente do Seridó";5
"251530 Sapé";10
"251550 Serra Branca";3
"251570 Serra Grande";1
"251580 Serra Redonda";1
"251597 Sobrado";3
"251600 Solânea";6
"251610 Soledade";3
"251620 Sousa";11
"251650 Taperoá";3
"251660 Tavares";2
"251670 Teixeira";7
"251690 Uiraúna";1
"251700 Umbuzeiro";4
"251710 Várzea";1
"251740 Zabelê";1
"260005 Abreu e Lima";27
"260010 Afogados da Ingazeira";4
"260020 Afrânio";1
"260030 Agrestina";8
"260040 Água Preta";13
"260050 Águas Belas";10
"260060 Alagoinha";7
"260070 Aliança";12
"260080 Altinho";11
"260090 Amaraji";17
"260100 Angelim";5
"260105 Araçoiaba";12
"260110 Araripina";18
"260120 Arcoverde";13
"260130 Barra de Guabiraba";5
"260140 Barreiros";23
"260150 Belém de Maria";9
"260160 Belém do São Francisco";2
"260170 Belo Jardim";25
"260180 Betânia";1
"260190 Bezerros";24
"260200 Bodocó";4
"260210 Bom Conselho";12
"260220 Bom Jardim";14
"260230 Bonito";20
"260240 Brejão";3
"260250 Brejinho";3
"260260 Brejo da Madre de Deus";18
"260270 Buenos Aires";5
"260280 Buíque";10
"260290 Cabo de Santo Agostinho";178
"260300 Cabrobó";3
"260310 Cachoeirinha";1
"260320 Caetés";8
"260330 Calçado";3
"260340 Calumbi";3
"260345 Camaragibe";48
"260350 Camocim de São Félix";10
"260360 Camutanga";6
"260370 Canhotinho";6
"260380 Capoeiras";2
"260390 Carnaíba";2
"260392 Carnaubeira da Penha";3
"260400 Carpina";30
"260410 Caruaru";165
"260415 Casinhas";11
"260420 Catende";20
"260430 Cedro";2
"260440 Chã de Alegria";7
"260450 Chã Grande";4
"260460 Condado";8
"260470 Correntes";4
"260480 Cortês";10
"260490 Cumaru";1
"260500 Cupira";16
"260510 Custódia";18
"260515 Dormentes";6
"260520 Escada";67
"260530 Exu";8
"260540 Feira Nova";9
"260550 Ferreiros";5
"260560 Flores";8
"260570 Floresta";6
"260580 Frei Miguelinho";2
"260590 Gameleira";18
"260600 Garanhuns";59
"260610 Glória do Goitá";13
"260620 Goiana";27
"260640 Gravatá";41
"260650 Iati";6
"260660 Ibimirim";10
"260670 Ibirajuba";3
"260680 Igarassu";62
"260760 Ilha de Itamaracá";23
"260700 Inajá";9
"260720 Ipojuca";51
"260730 Ipubi";9
"260750 Itaíba";7
"260765 Itambé";14
"260770 Itapetim";4
"260775 Itapissuma";12
"260780 Itaquitinga";3
"260790 Jaboatão dos Guararapes";278
"260795 Jaqueira";3
"260800 Jataúba";3
"260805 Jatobá";1
"260810 João Alfredo";13
"260820 Joaquim Nabuco";4
"260825 Jucati";2
"260830 Jupi";3
"260840 Jurema";12
"260850 Lagoa de Itaenga";15
"260845 Lagoa do Carro";13
"260860 Lagoa do Ouro";2
"260870 Lagoa dos Gatos";3
"260875 Lagoa Grande";6
"260880 Lajedo";23
"260890 Limoeiro";7
"260900 Macaparana";8
"260910 Machados";2
"260915 Manari";9
"260920 Maraial";4
"260930 Mirandiba";8
"260940 Moreno";26
"260950 Nazaré da Mata";15
"260960 Olinda";121
"260970 Orobó";2
"260980 Orocó";6
"260990 Ouricuri";16
"261000 Palmares";51
"261020 Panelas";12
"261030 Paranatama";5
"261050 Passira";8
"261060 Paudalho";21
"261070 Paulista";91
"261080 Pedra";5
"261090 Pesqueira";20
"261100 Petrolândia";5
"261110 Petrolina";148
"261120 Poção";3
"261130 Pombos";15
"261140 Primavera";10
"261150 Quipapá";10
"261160 Recife";769
"261170 Riacho das Almas";7
"261180 Ribeirão";21
"261190 Rio Formoso";15
"261200 Sairé";4
"261220 Salgueiro";20
"261230 Saloá";2
"261240 Sanharó";8
"261245 Santa Cruz";4
"261247 Santa Cruz da Baixa Verde";1
"261250 Santa Cruz do Capibaribe";32
"261255 Santa Filomena";1
"261260 Santa Maria da Boa Vista";11
"261270 Santa Maria do Cambucá";5
"261280 Santa Terezinha";1
"261290 São Benedito do Sul";1
"261300 São Bento do Una";20
"261310 São Caitano";21
"261320 São João";7
"261330 São Joaquim do Monte";15
"261340 São José da Coroa Grande";15
"261350 São José do Belmonte";11
"261360 São José do Egito";9
"261370 São Lourenço da Mata";49
"261380 São Vicente Ferrer";17
"261390 Serra Talhada";30
"261410 Sertânia";14
"261420 Sirinhaém";22
"261440 Solidão";2
"261450 Surubim";16
"261460 Tabira";13
"261470 Tacaimbó";6
"261480 Tacaratu";5
"261485 Tamandaré";13
"261500 Taquaritinga do Norte";8
"261520 Terra Nova";2
"261530 Timbaúba";25
"261540 Toritama";11
"261550 Tracunhaém";5
"261560 Trindade";7
"261570 Triunfo";1
"261580 Tupanatinga";2
"261590 Tuparetama";1
"261600 Venturosa";9
"261610 Verdejante";4
"261618 Vertente do Lério";1
"261620 Vertentes";4
"261630 Vicência";16
"261640 Vitória de Santo Antão";88
"261650 Xexéu";6
"270010 Água Branca";2
"270020 Anadia";2
"270030 Arapiraca";140
"270040 Atalaia";21
"270050 Barra de Santo Antônio";13
"270060 Barra de São Miguel";6
"270070 Batalha";8
"270080 Belém";1
"270090 Belo Monte";1
"270100 Boca da Mata";14
"270110 Branquinha";3
"270120 Cacimbinhas";1
"270130 Cajueiro";8
"270140 Campo Alegre";12
"270150 Campo Grande";1
"270160 Canapi";11
"270170 Capela";9
"270190 Chã Preta";2
"270200 Coité do Nóia";2
"270210 Colônia Leopoldina";19
"270220 Coqueiro Seco";2
"270230 Coruripe";6
"270235 Craíbas";6
"270240 Delmiro Gouveia";8
"270250 Dois Riachos";4
"270255 Estrela de Alagoas";1
"270260 Feira Grande";1
"270270 Feliz Deserto";4
"270280 Flexeiras";12
"270290 Girau do Ponciano";5
"270300 Ibateguara";6
"270310 Igaci";10
"270320 Igreja Nova";7
"270330 Inhapi";3
"270340 Jacaré dos Homens";4
"270350 Jacuípe";2
"270360 Japaratinga";4
"270370 Jaramataia";2
"270375 Jequiá da Praia";5
"270380 Joaquim Gomes";9
"270390 Jundiá";4
"270400 Junqueiro";10
"270410 Lagoa da Canoa";3
"270420 Limoeiro de Anadia";2
"270430 Maceió";475
"270440 Major Isidoro";6
"270490 Mar Vermelho";1
"270450 Maragogi";19
"270460 Maravilha";3
"270470 Marechal Deodoro";13
"270480 Maribondo";10
"270500 Mata Grande";6
"270510 Matriz de Camaragibe";7
"270520 Messias";7
"270540 Monteirópolis";1
"270550 Murici";10
"270560 Novo Lino";1
"270570 Olho d'Água das Flores";7
"270580 Olho d'Água do Casado";4
"270600 Olivença";3
"270610 Ouro Branco";2
"270630 Palmeira dos Índios";21
"270640 Pão de Açúcar";3
"270644 Paripueira";2
"270650 Passo de Camaragibe";7
"270660 Paulo Jacinto";3
"270670 Penedo";19
"270680 Piaçabuçu";3
"270690 Pilar";19
"270710 Piranhas";5
"270720 Poço das Trincheiras";1
"270730 Porto Calvo";7
"270740 Porto de Pedras";3
"270750 Porto Real do Colégio";4
"270770 Rio Largo";36
"270780 Roteiro";4
"270790 Santa Luzia do Norte";2
"270800 Santana do Ipanema";12
"270830 São José da Laje";10
"270840 São José da Tapera";6
"270850 São Luís do Quitunde";22
"270860 São Miguel dos Campos";25
"270870 São Miguel dos Milagres";1
"270880 São Sebastião";18
"270890 Satuba";2
"270895 Senador Rui Palmeira";5
"270900 Tanque d'Arca";3
"270910 Taquarana";12
"270915 Teotônio Vilela";13
"270920 Traipu";7
"270930 União dos Palmares";37
"270940 Viçosa";9
"280020 Aquidabã";5
"280030 Aracaju";335
"280050 Areia Branca";7
"280060 Barra dos Coqueiros";20
"280067 Boquim";8
"280070 Brejo Grande";8
"280100 Campo do Brito";8
"280120 Canindé de São Francisco";14
"280130 Capela";12
"280140 Carira";5
"280150 Carmópolis";5
"280160 Cedro de São João";1
"280170 Cristinápolis";16
"280210 Estância";27
"280220 Feira Nova";2
"280230 Frei Paulo";4
"280240 Gararu";1
"280250 General Maynard";1
"280260 Gracho Cardoso";2
"280270 Ilha das Flores";9
"280280 Indiaroba";2
"280290 Itabaiana";70
"280300 Itabaianinha";13
"280310 Itabi";2
"280320 Itaporanga d'Ajuda";10
"280330 Japaratuba";12
"280340 Japoatã";3
"280350 Lagarto";38
"280360 Laranjeiras";9
"280370 Macambira";2
"280380 Malhada dos Bois";1
"280390 Malhador";4
"280400 Maruim";5
"280410 Moita Bonita";2
"280420 Monte Alegre de Sergipe";1
"280430 Muribeca";4
"280440 Neópolis";10
"280445 Nossa Senhora Aparecida";1
"280450 Nossa Senhora da Glória";13
"280460 Nossa Senhora das Dores";16
"280480 Nossa Senhora do Socorro";94
"280490 Pacatuba";8
"280500 Pedra Mole";1
"280510 Pedrinhas";1
"280520 Pinhão";2
"280530 Pirambu";6
"280540 Poço Redondo";9
"280550 Poço Verde";5
"280560 Porto da Folha";8
"280570 Propriá";20
"280580 Riachão do Dantas";1
"280590 Riachuelo";7
"280600 Ribeirópolis";7
"280610 Rosário do Catete";2
"280620 Salgado";3
"280630 Santa Luzia do Itanhy";2
"280650 Santa Rosa de Lima";6
"280640 Santana do São Francisco";1
"280670 São Cristóvão";41
"280680 São Domingos";1
"280710 Simão Dias";14
"280720 Siriri";8
"280740 Tobias Barreto";14
"280750 Tomar do Geru";5
"280760 Umbaúba";12
"290020 Abaré";5
"290030 Acajutiba";10
"290035 Adustina";6
"290040 Água Fria";9
"290070 Alagoinhas";124
"290080 Alcobaça";16
"290090 Almadina";2
"290100 Amargosa";8
"290110 Amélia Rodrigues";12
"290115 América Dourada";8
"290120 Anagé";1
"290130 Andaraí";8
"290135 Andorinha";5
"290140 Angical";3
"290150 Anguera";4
"290160 Antas";2
"290170 Antônio Cardoso";3
"290180 Antônio Gonçalves";6
"290190 Aporá";9
"290205 Araças";4
"290200 Aracatu";4
"290210 Araci";13
"290220 Aramari";2
"290225 Arataca";9
"290230 Aratuípe";3
"290240 Aurelino Leal";13
"290250 Baianópolis";5
"290260 Baixa Grande";9
"290270 Barra";11
"290280 Barra da Estiva";7
"290290 Barra do Choça";23
"290300 Barra do Mendes";1
"290310 Barra do Rocha";2
"290320 Barreiras";82
"290323 Barro Alto";3
"290330 Barro Preto";6
"290327 Barrocas";1
"290340 Belmonte";21
"290350 Belo Campo";4
"290360 Biritinga";8
"290370 Boa Nova";3
"290380 Boa Vista do Tupim";7
"290390 Bom Jesus da Lapa";24
"290395 Bom Jesus da Serra";1
"290405 Bonito";5
"290410 Boquira";1
"290430 Brejões";2
"290440 Brejolândia";1
"290450 Brotas de Macaúbas";3
"290460 Brumado";12
"290470 Buerarema";5
"290475 Buritirama";4
"290480 Caatiba";2
"290485 Cabaceiras do Paraguaçu";7
"290490 Cachoeira";11
"290500 Caculé";5
"290510 Caém";5
"290520 Caetité";10
"290530 Cafarnaum";3
"290540 Cairu";10
"290550 Caldeirão Grande";2
"290560 Camacan";20
"290570 Camaçari";246
"290580 Camamu";26
"290590 Campo Alegre de Lourdes";2
"290600 Campo Formoso";27
"290610 Canápolis";1
"290620 Canarana";8
"290630 Canavieiras";19
"290640 Candeal";4
"290650 Candeias";69
"290660 Candiba";2
"290670 Cândido Sales";3
"290680 Cansanção";12
"290682 Canudos";5
"290685 Capela do Alto Alegre";4
"290687 Capim Grosso";23
"290689 Caraíbas";1
"290690 Caravelas";7
"290710 Carinhanha";4
"290720 Casa Nova";27
"290730 Castro Alves";14
"290740 Catolândia";1
"290750 Catu";17
"290755 Caturama";2
"290760 Central";4
"290770 Chorrochó";2
"290780 Cícero Dantas";19
"290790 Cipó";1
"290800 Coaraci";13
"290820 Conceição da Feira";14
"290830 Conceição do Almeida";4
"290840 Conceição do Coité";28
"290850 Conceição do Jacuípe";22
"290860 Conde";1
"290870 Condeúba";4
"290890 Coração de Maria";11
"290910 Coribe";1
"290920 Coronel João Sá";1
"290930 Correntina";11
"290940 Cotegipe";1
"290960 Crisópolis";5
"290970 Cristópolis";3
"290980 Cruz das Almas";21
"290990 Curaçá";14
"291000 Dário Meira";6
"291005 Dias d'Ávila";70
"291040 Encruzilhada";13
"291050 Entre Rios";20
"290050 Érico Cardoso";1
"291060 Esplanada";19
"291070 Euclides da Cunha";7
"291072 Eunápolis";83
"291075 Fátima";3
"291080 Feira de Santana";515
"291085 Filadélfia";3
"291090 Firmino Alves";1
"291100 Floresta Azul";4
"291110 Formosa do Rio Preto";4
"291120 Gandu";8
"291140 Glória";3
"291150 Gongogi";2
"291160 Governador Mangabeira";18
"291170 Guanambi";23
"291180 Guaratinga";9
"291185 Heliópolis";3
"291190 Iaçu";9
"291210 Ibicaraí";17
"291220 Ibicoara";9
"291230 Ibicuí";9
"291240 Ibipeba";2
"291260 Ibiquera";1
"291270 Ibirapitanga";19
"291280 Ibirapuã";2
"291290 Ibirataia";5
"291300 Ibitiara";2
"291310 Ibititá";1
"291320 Ibotirama";14
"291340 Igaporã";2
"291345 Igrapiúna";11
"291350 Iguaí";16
"291360 Ilhéus";129
"291370 Inhambupe";25
"291380 Ipecaetá";2
"291390 Ipiaú";13
"291400 Ipirá";17
"291410 Ipupiara";4
"291430 Iramaia";2
"291440 Iraquara";5
"291450 Irará";6
"291460 Irecê";43
"291465 Itabela";29
"291470 Itaberaba";31
"291480 Itabuna";124
"291490 Itacaré";14
"291500 Itaeté";2
"291510 Itagi";4
"291520 Itagibá";2
"291530 Itagimirim";6
"291535 Itaguaçu da Bahia";2
"291540 Itaju do Colônia";9
"291550 Itajuípe";9
"291560 Itamaraju";57
"291570 Itamari";1
"291580 Itambé";3
"291590 Itanagra";5
"291600 Itanhém";9
"291610 Itaparica";22
"291620 Itapé";2
"291630 Itapebi";3
"291640 Itapetinga";50
"291650 Itapicuru";12
"291660 Itapitanga";4
"291670 Itaquara";2
"291680 Itarantim";6
"291685 Itatim";4
"291690 Itiruçu";1
"291700 Itiúba";10
"291710 Itororó";2
"291720 Ituaçu";1
"291730 Ituberá";10
"291733 Iuiú";1
"291735 Jaborandi";1
"291740 Jacaraci";4
"291750 Jacobina";31
"291760 Jaguaquara";4
"291770 Jaguarari";5
"291780 Jaguaripe";6
"291790 Jandaíra";1
"291800 Jequié";70
"291810 Jeremoabo";4
"291820 Jiquiriçá";3
"291830 Jitaúna";6
"291835 João Dourado";3
"291840 Juazeiro";107
"291845 Jucuruçu";1
"291850 Jussara";5
"291855 Jussari";12
"291870 Lafaiete Coutinho";1
"291880 Laje";10
"291890 Lajedão";2
"291910 Lamarão";3
"291915 Lapão";6
"291920 Lauro de Freitas";168
"291930 Lençóis";11
"291940 Licínio de Almeida";4
"291950 Livramento de Nossa Senhora";2
"291955 Luís Eduardo Magalhães";51
"291960 Macajuba";7
"291970 Macarani";4
"291980 Macaúbas";9
"291992 Madre de Deus";2
"291995 Maetinga";1
"292000 Maiquinique";2
"292010 Mairi";15
"292020 Malhada";2
"292040 Manoel Vitorino";3
"292050 Maracás";4
"292060 Maragogipe";23
"292070 Maraú";13
"292080 Marcionílio Souza";3
"292090 Mascote";6
"292100 Mata de São João";32
"292110 Medeiros Neto";9
"292120 Miguel Calmon";14
"292130 Milagres";9
"292145 Mirante";2
"292150 Monte Santo";14
"292160 Morpará";1
"292170 Morro do Chapéu";14
"292180 Mortugaba";1
"292190 Mucugê";1
"292200 Mucuri";17
"292205 Mulungu do Morro";5
"292210 Mundo Novo";2
"292220 Muniz Ferreira";2
"292225 Muquém de São Francisco";3
"292230 Muritiba";10
"292240 Mutuípe";5
"292250 Nazaré";8
"292260 Nilo Peçanha";11
"292265 Nordestina";4
"292270 Nova Canaã";1
"292273 Nova Fátima";4
"292275 Nova Ibiá";1
"292290 Nova Soure";10
"292300 Nova Viçosa";29
"292305 Novo Triunfo";3
"292310 Olindina";6
"292320 Oliveira dos Brejinhos";3
"292335 Ourolândia";5
"292340 Palmas de Monte Alto";1
"292350 Palmeiras";3
"292360 Paramirim";2
"292370 Paratinga";4
"292380 Paripiranga";2
"292390 Pau Brasil";14
"292400 Paulo Afonso";42
"292405 Pé de Serra";4
"292420 Pedro Alexandre";7
"292430 Piatã";1
"292440 Pilão Arcado";3
"292450 Pindaí";5
"292460 Pindobaçu";5
"292465 Pintadas";2
"292467 Piraí do Norte";1
"292480 Piritiba";9
"292500 Planalto";9
"292510 Poções";12
"292520 Pojuca";21
"292525 Ponto Novo";10
"292530 Porto Seguro";100
"292540 Potiraguá";2
"292550 Prado";18
"292560 Presidente Dutra";4
"292570 Presidente Jânio Quadros";2
"292575 Presidente Tancredo Neves";7
"292580 Queimadas";5
"292590 Quijingue";6
"292593 Quixabeira";3
"292595 Rafael Jambeiro";6
"292600 Remanso";7
"292610 Retirolândia";6
"292620 Riachão das Neves";8
"292630 Riachão do Jacuípe";12
"292640 Riacho de Santana";4
"292650 Ribeira do Amparo";4
"292660 Ribeira do Pombal";8
"292665 Ribeirão do Largo";1
"292690 Rio do Pires";1
"292700 Rio Real";15
"292710 Rodelas";2
"292720 Ruy Barbosa";12
"292730 Salinas da Margarida";3
"292740 Salvador";1582
"292750 Santa Bárbara";4
"292760 Santa Brígida";1
"292770 Santa Cruz Cabrália";15
"292780 Santa Cruz da Vitória";5
"292790 Santa Inês";2
"292805 Santa Luzia";10
"292810 Santa Maria da Vitória";24
"292840 Santa Rita de Cássia";4
"292850 Santa Teresinha";4
"292800 Santaluz";8
"292820 Santana";2
"292830 Santanópolis";3
"292860 Santo Amaro";51
"292870 Santo Antônio de Jesus";94
"292880 Santo Estêvão";22
"292890 São Desidério";4
"292895 São Domingos";7
"292910 São Felipe";3
"292900 São Félix";9
"292905 São Félix do Coribe";8
"292920 São Francisco do Conde";22
"292925 São Gabriel";5
"292930 São Gonçalo dos Campos";16
"292935 São José da Vitória";1
"292937 São José do Jacuípe";5
"292940 São Miguel das Matas";3
"292950 São Sebastião do Passé";29
"292960 Sapeaçu";10
"292970 Sátiro Dias";9
"292975 Saubara";12
"292980 Saúde";5
"292990 Seabra";11
"293000 Sebastião Laranjeiras";2
"293010 Senhor do Bonfim";46
"293020 Sento Sé";5
"293015 Serra do Ramalho";8
"293030 Serra Dourada";3
"293040 Serra Preta";7
"293050 Serrinha";34
"293060 Serrolândia";10
"293070 Simões Filho";122
"293075 Sítio do Mato";1
"293076 Sítio do Quinto";5
"293077 Sobradinho";10
"293080 Souto Soares";4
"293100 Tanhaçu";2
"293110 Tanquinho";10
"293120 Taperoá";12
"293130 Tapiramutá";5
"293135 Teixeira de Freitas";79
"293140 Teodoro Sampaio";3
"293150 Teofilândia";5
"293160 Teolândia";8
"293170 Terra Nova";16
"293190 Tucano";18
"293200 Uauá";2
"293210 Ubaíra";6
"293220 Ubaitaba";12
"293230 Ubatã";17
"293240 Uibaí";2
"293245 Umburanas";3
"293250 Una";5
"293260 Urandi";3
"293270 Uruçuca";17
"293280 Utinga";7
"293290 Valença";62
"293300 Valente";9
"293305 Várzea da Roça";13
"293310 Várzea do Poço";5
"293315 Várzea Nova";6
"293317 Varzedo";1
"293320 Vera Cruz";45
"293325 Vereda";1
"293330 Vitória da Conquista";217
"293340 Wagner";6
"293345 Wanderley";2
"293350 Wenceslau Guimarães";31
"293360 Xique-Xique";14
"310010 Abadia dos Dourados";1
"310030 Abre Campo";1
"310040 Acaiaca";2
"310090 Águas Formosas";10
"310100 Águas Vermelhas";1
"310110 Aimorés";11
"310150 Além Paraíba";8
"310160 Alfenas";10
"310170 Almenara";5
"310180 Alpercata";3
"310200 Alterosa";1
"310220 Alvarenga";1
"310260 Andradas";2
"310280 Andrelândia";1
"310300 Antônio Dias";2
"310340 Araçuaí";4
"310350 Araguari";14
"310360 Arantina";1
"310370 Araponga";1
"310400 Araxá";10
"310420 Arcos";3
"310450 Arinos";3
"310460 Astolfo Dutra";2
"310500 Baldim";3
"310510 Bambuí";1
"310520 Bandeira";1
"310530 Bandeira do Sul";1
"310540 Barão de Cocais";2
"310560 Barbacena";21
"310600 Bela Vista de Minas";2
"310620 Belo Horizonte";400
"310630 Belo Oriente";3
"310640 Belo Vale";1
"310665 Berizal";2
"310670 Betim";119
"310690 Bicas";2
"310710 Boa Esperança";8
"310730 Bocaiúva";2
"310740 Bom Despacho";5
"310750 Bom Jardim de Minas";1
"310780 Bom Jesus do Galho";2
"310800 Bom Sucesso";3
"310810 Bonfim";1
"310830 Borda da Mata";1
"310840 Botelhos";1
"310850 Botumirim";1
"310870 Brás Pires";3
"310855 Brasilândia de Minas";1
"310860 Brasília de Minas";1
"310900 Brumadinho";6
"310920 Buenópolis";1
"310930 Buritis";3
"310940 Buritizeiro";2
"310945 Cabeceira Grande";2
"310950 Cabo Verde";2
"310970 Cachoeira de Minas";1
"310270 Cachoeira de Pajeú";3
"310980 Cachoeira Dourada";1
"310990 Caetanópolis";2
"311000 Caeté";2
"311020 Cajuri";1
"311060 Cambuí";1
"311070 Cambuquira";1
"311080 Campanário";1
"311100 Campestre";1
"311110 Campina Verde";3
"311120 Campo Belo";3
"311140 Campo Florido";1
"311150 Campos Altos";4
"311160 Campos Gerais";2
"311180 Canápolis";1
"311230 Capelinha";2
"311250 Capim Branco";1
"311260 Capinópolis";1
"311270 Capitão Enéas";1
"311280 Capitólio";1
"311290 Caputira";2
"311300 Caraí";7
"311320 Carandaí";2
"311330 Carangola";3
"311340 Caratinga";20
"311370 Carlos Chagas";4
"311400 Carmo da Mata";1
"311420 Carmo do Cajuru";1
"311430 Carmo do Paranaíba";4
"311440 Carmo do Rio Claro";1
"311460 Carrancas";1
"311510 Cássia";1
"311530 Cataguases";8
"311545 Catuji";3
"311570 Central de Minas";1
"311600 Chalé";2
"311615 Chapada Gaúcha";3
"311630 Cipotânea";2
"311650 Claro dos Poções";2
"311660 Cláudio";2
"311670 Coimbra";1
"311690 Comendador Gomes";1
"311520 Conceição da Barra de Minas";1
"311730 Conceição das Alagoas";5
"311720 Conceição das Pedras";1
"311740 Conceição de Ipanema";1
"311750 Conceição do Mato Dentro";4
"311780 Conceição dos Ouros";1
"311783 Cônego Marinho";1
"311787 Confins";1
"311800 Congonhas";5
"311830 Conselheiro Lafaiete";8
"311840 Conselheiro Pena";5
"311860 Contagem";89
"311880 Coração de Jesus";1
"311890 Cordisburgo";1
"311910 Corinto";2
"311920 Coroaci";1
"311930 Coromandel";3
"311940 Coronel Fabriciano";24
"311995 Córrego Fundo";1
"312015 Crisólita";1
"312020 Cristais";1
"312030 Cristália";3
"312060 Crucilândia";1
"312083 Cuparaque";1
"312090 Curvelo";25
"312110 Delfim Moreira";1
"312120 Delfinópolis";1
"312125 Delta";1
"312160 Diamantina";5
"312200 Divino";4
"312230 Divinópolis";43
"312235 Divisa Alegre";2
"312250 Dom Cavati";1
"312260 Dom Joaquim";2
"312270 Dom Silvério";1
"312300 Dores de Campos";3
"312310 Dores de Guanhães";1
"312320 Dores do Indaiá";2
"312340 Doresópolis";1
"312352 Durandé";1
"312360 Elói Mendes";5
"312370 Engenheiro Caldas";2
"312390 Entre Rios de Minas";1
"312400 Ervália";13
"312410 Esmeraldas";9
"312420 Espera Feliz";2
"312430 Espinosa";1
"312450 Estiva";1
"312510 Extrema";3
"312540 Felício dos Santos";1
"312595 Fervedouro";6
"312610 Formiga";11
"312670 Francisco Sá";2
"312675 Franciscópolis";1
"312680 Frei Gaspar";1
"312690 Frei Inocêncio";3
"312700 Fronteira";4
"312705 Fronteira dos Vales";2
"312707 Fruta de Leite";1
"312710 Frutal";6
"312720 Funilândia";1
"312730 Galiléia";4
"312750 Gonzaga";1
"312770 Governador Valadares";114
"312800 Guanhães";5
"312810 Guapé";2
"312840 Guarani";2
"312870 Guaxupé";4
"312950 Ibiá";3
"312965 Ibiracatu";1
"312980 Ibirité";23
"313010 Igarapé";6
"313020 Igaratinga";1
"313030 Iguatama";1
"313040 Ijaci";1
"313050 Ilicínea";1
"313055 Imbé de Minas";2
"313090 Inhapim";4
"313100 Inhaúma";3
"313110 Inimutaba";1
"313115 Ipaba";1
"313120 Ipanema";1
"313130 Ipatinga";41
"313140 Ipiaçu";1
"313170 Itabira";18
"313190 Itabirito";17
"313210 Itacarambi";6
"313220 Itaguara";2
"313230 Itaipé";1
"313240 Itajubá";6
"313250 Itamarandiba";3
"313270 Itambacuri";4
"313300 Itamonte";2
"313310 Itanhandu";2
"313320 Itanhomi";3
"313330 Itaobim";4
"313340 Itapagipe";1
"313350 Itapecerica";2
"313370 Itatiaiuçu";4
"313375 Itaú de Minas";1
"313380 Itaúna";17
"313400 Itinga";1
"313410 Itueta";2
"313420 Ituiutaba";13
"313440 Iturama";4
"313460 Jaboticatubas";4
"313470 Jacinto";2
"313490 Jacutinga";1
"313505 Jaíba";5
"313507 Jampruca";1
"313510 Janaúba";17
"313520 Januária";4
"313540 Jeceaba";2
"313550 Jequeri";1
"313560 Jequitaí";1
"313570 Jequitibá";1
"313580 Jequitinhonha";2
"313600 Joaíma";4
"313620 João Monlevade";4
"313630 João Pinheiro";6
"313650 Jordânia";1
"313665 Juatuba";4
"313670 Juiz de Fora";74
"313700 Ladainha";4
"313720 Lagoa da Prata";4
"313750 Lagoa Formosa";4
"313753 Lagoa Grande";1
